Date,RMS P.O,Part Received,Vendor,Promise date,Notes,Vendor Contact,Recieved Date,Carrier,Trackin/Pro#,L,W,H,Weight,Inbound Shipping Charges,Date,Customer,Customer P.O,RMS Invoice #,Ship To,Line #,HS code,Shipped,Invoice Status,L,W,H,Weight,Carrier,Tracking/ Pro#,Crating/ Handling charges,Ship out Charges,Customer contact,Notes
1-Aug-23,9455,MANIFOLD AND PRESS RED CART,Hydradyne,In stock,RMS Stock (RFQ 230509 JRALPRA JEN1525).,aleksymcconnell@cmafh.com,9/6/2023,UPS,1Z6025520360085939,,,,,,8/23/2023,Jord,109497,,Contact ECI,,,9/6/2023,,,,,,DHL,8306440822,,,,
3-Aug-23,9413,,GEIB,,,,6/26/2023,UPS,1Z6136340358462412,7,5,5,5 LBS,,,,,,,,,,,,,,,,,,,,
3-Aug-23,9413,,GEIB,,,,7/19/2023,UPS,1Z6136340360103822,7,5,5,3 LBS,,,,,,,,,,,,,,,,,,,,
3-Aug-23,,,Hydradyne,,2 parts on back order,,7/25/2023,UPS,1ZE392590258991250,,,,5 LBS,,,,,,,,,,,,,,,,,,,,
3-Aug-23,9440,,The Warehouse Co.,,,,7/25/2023,UPS,1Z482EW80351852585,12,9,7,4 LBS,,,,,,,,,,,,,,,,,,,,
3-Aug-23,9408,,FLW Inc.,,,,7/25/2023,UPS,1Z9874030347178212,11,9,7,2 LBS,,,,,,,,,,,,,,,,,,,,
3-Aug-23,9453,,CMA/Flodyne/Hydradyne,,HPU Parts,,8/2/2023,UPS,1Z6025520360053017,,,,1 LB,,,,,,,,,,,,,,,,,,,,
3-Aug-23,9437,FIRE DETECTOR,Protegis,,,,8/1/2023,UPS,1Z4092830396709999,9,9,6,3 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9425,,Eesco,,,,8/2/2023,UPS,1Z6299300306895485,12,12,12,10 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9400,DOOR LATCH C/W ADJ STRKR,UES Int.,,1 pc short,,5/19/2023,UPS,1ZW824970337255043,,,,13 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,,,Novaspect,,Partial?. Tracking number belongs to Marco order 9285.,,,UPS,1Z4443800397174397,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9424,,Lesman Instruments,,,,7/18/2023,UPS,1Z6208880311198273,10,10,10,22 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9426,,Check Fluid Inc.,,,,,UF,24819E0034739379,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9379,,Novaspect,,,,7/10/2023,UPS,1Z6253760394520893,10,6,4,2 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9442,,Airlne Hydraulics,,RFQ 230713 JRSELCHI SAE Fitting,,7/19/2023,UPS,1Z2VX5130350973405,6,6,6,3 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9423,,Lesman Instruments,,,,7/18/2023,UPS,1Z6208880311198246,10,10,10,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9441,,Rittertech,,RFQ 230713 JRSELCHI SAE Fitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9441,,Rittertech,,RFQ 230713 JRSELCHI SAE Fitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9451,,Main Manufacturing,,RMS Stock (RFQ 230509 JRALPRA JEN1525).,,Received,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9449,,CMA/Flodyne/Hydradyne,,RMS Stock (RFQ 230509 JRALPRA JEN1525).,,7/27/2023,UPS,1Z6025520360048658,,,,1 LB,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9372,,Novaspect,,,,Received,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9398,,Novaspect,,,,5/23/2023,UPS,1Z6253760390101487,10,6,4,1 LB,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9411,,Novaspect,,,,6/28/2023,UPS,1Z6253760398801055,10,6,4,1 LB,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9410,,Novaspect,,,,6/26/2023,FEDEX,7802 6417 8735,11,8,6,1 LB,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9367,,American Prod.,,No Packing Slip,,5/11/2023,UPS,1Z7598390377730365,12,12,12,12 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,65083,,R.P Adams,,,,,UPS,,10,10,15,30 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9430,,ACI Controls,,Box 1 of 4,,7/19/2023,UPS,1Z91W8160393766859,24,12,12,37 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9430,,ACI Controls,,Box 2 of 4 ,,7/19/2023,UPS,1Z91W8160391366062,24,12,12,37 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9430,,ACI Controls,,Box 3 of 4,,7/19/2023,UPS,1Z91W8160391906675,24,12,12,37 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9430,,ACI Controls,,Box 4 of 4,,7/19/2023,UPS,1Z91W8160391864685,24,12,12,37 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9438,,CMA/Flodyne/Hydradyne,,Stock,,7/18/2023,UPS,1Z6025520360038605,,,,55 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9431,,BFS,,1 of 2 & 2 of 2 (3pcs),,Received,,,,,,19 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9431,,BFS,,1 of 2 & 2 of 2 (3pcs),,Received,,,18,18,6,28 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9432,,BFS,,1 of 2 & 2 of 2 (3pcs),,Received,,,,,,19 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9432,,BFS,,,,Received,,,18,18,6,28 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9433,,BFS,,1 of 2 & 2 of 2 (3pcs),,Received,,,,,,19 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9433,,BFS,,"1 of 3, 2 of 3 & 3 of 3 (3pcs)",,Received,,,,,,52 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9434,,BFS,,1 of 2 & 2 of 2 (2pcs),,Received,,,,,,25 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9434,,BFS,,1 of 2 & 2 of 2 (2pcs),,Received,,,,,,25 LBS,,,,,,,,,,,,,,,,,,,,
4-Aug-23,9434,,BFS,,1 of 2 & 2 of 2 (5pcs),,Received,,,,,,24 LBS,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9429,,Sure Flow,,,,7/28/2023,UPS,1Z1X45740370975269,20,13,13,18 LBS,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9396,,ACI Controls,,1 of 2,,7/21/2023,UPS,1Z91W8160393567092,24,12,12,65 LBS,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9396,,ACI Controls,,2 of 2,,7/21/2023,UPS,1Z91W8160393487900,24,12,12,43 LBS,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9387,,Novaspect,,,,6/5/2023,UPS,1Z6253760393093286,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9375,,Novaspect,,,,5/19/2023,UPS,1Z6253760397059226,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9385,,Novaspect,,,,6/12/2023,UPS,1Z6253760396084487,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9388,,Novaspect,,,,6/5/2023,UPS,1Z6253760390344126,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9389,,Novaspect,,,,6/5/2023,UPS,1Z6253760394668092,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9390,,Novaspect,,,,6/5/2023,UPS,1Z6253760393177516,11,8,1,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9415,,Hilliard Corp.,,,,6/20/2023,UPS,1Z1298470367415121,13,10,9,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9359,,Buffalo Pumps,,,,5/25/2023,UPS,1Z1237410353380220,11,18,2,1 LB,,,,,,,,,,,,,,,,,,,,
5-Aug-23,9328,,Emerson,,,,,,,7,7,7,11 LBS,,,,,,,,,,,,,,,,,,,,
8-Aug-23,9450,90 Seal/OK/61FLG,Rittertech,,,,8/7/2023,UPS,1Z6067730356339966,6,6,4,2 LBS,,,,,,,,,,,,,,,,,,,,
8-Aug-23,1489118570,Thermoters and Thermowells,Grainger,8/9/2023,PR20-108848-1 and 108847-1,,8/9/2023,FEDEX,654882845852,,,,,,5/6/2023,Jords,108847,,,all lines,,,,,,,,,,,,,
10-Aug-23,9361,4 Circuit 5ft Cable,Eesco,,,,8/9/2023,UPS,1Z6299300306899294,12,14,8,3 LBS,,3/16/2023,Jords,108781,,Jords Vietnam,,,,,,,,,,,,,,
10-Aug-23,9369,O-ring ,Novaspect,,6 3/4 x 7 x 1/8,,4/20/2023,UPS,1Z6253760395184479,11,7,1,1 LB,,4/6/2023,GE,42300087365,,GE Energy Parts. ATLANTA,,,,,,,,,,,,,,
10-Aug-23,9407,Filter,Flow Ezy,,,,8/10/2023,UPS ,1Z4575840346101161,14,13,9,5 LBS,,5/18/2023,Jords,108874,,Contact ECI,,,,,,,,,,,,,,
8/11/2023,9456,"REXROTH HYDRAULIC PUMP
AAA10VSO45DR/31R-VKC62N00",Hydradyne,2/16/2024,RMS Stock,,9/14/2023,UPS,1Z6025520360094376,12,12,12,54LBS,,3/6/2024,GE,42300150115,,GE Energy Parts. ATLANTA,1,,4/1/2024,,12,12,12,54LBS,Fedex,775768223135,,,,
8/15/2023,9457,Pipe Niple - KIT-AIR FILTER REPLACMENT,Mc Master,,ORDER PAID BY CREDIT CARD. Sales Order 7265457,,8/15/2023,UPS,1Z0835200364802821,,,,,,7/24/2023,GE,42300107313,,GE Energy Parts. ATLANTA,1,,1/17/2024,Delivered,12,12,16,38,Fedex,774817173371,,,,SHIPPED 6 OF 6 BOXES
15-Aug-23,9454,90SealOK/61FLG,Rittertech,,,,8/11/2023,FedEx,,6,6,4,2 LBS,,8/23/2023,Jord,109497,,Contact ECI,,,,,,,,,,,,,,
15-Aug-23,9457,Pipe Nip-Drill Bit-Kit Air,Mc Master,,,,8/14/2023,UPS,1Z6028360345417311,,,,,,,GE,42300107313,,,,,1/17/2024,Delivered,12,12,16,38,Fedex,774817173371,,,,SHIPPED 6 OF 6 BOXES
16-Aug-23,,,Hydradyne,,HPU Parts,,,UPS,1ZE392590258001917,9,9,9,5 LBS,,,,,,,,,,,,,,,,,,,,
16-Aug-23,,,Hydradyne,,HPU Parts,,,UPS,1Z82723W0205349600,7,7,5,4 LBS,,,,,,,,,,,,,,,,,,,,
24-Aug-23,9436,Needle Valve,Sunbelt,,,,8/24/2023,UPS,1Z2W04880341483209,7,8,5,11LBS,,,Jord,109221,,,,,YES,Delivered,6,10,7,11LBS,UPS,1Z2Y36Y30397365046,,,,
8/23/2023,9458,SOLENOID VALVE,Lesman,10/16/2023 and 12/15/2023,2 boxes,,10/11/2023,UPS,1Z6208880311278301/8310,12,12,12,34LBS,,8/18/2023,GE,423001155XX (20 orders for qty 1 of same solenoid valve),,GE Energy Parts. ATLANTA,,,all 20 shipped,,,,,,,,,,,
8/22/2023,9459,Flange Elbow Block,Main Manufacturing Products,,HPU Parts,,8/25/2023,UPS,1Z4583340353122338,8,8,5,5lbs,,8/23/2023,Jord,109497,,Contact ECI,,,9/6/2023,,,,,,DHL,8306440822,,,,
8/22/2023,9460,VALVE MANIFOLD,The Blythe Company,,,patti@theblythecompany.com,9/20/2023,FedEx Frgt,773366316975,36,30,30,440 LBS,,8/17/2023,Jord,109378,,"Contact ECI. Ship to SHANGHAI, CHINA",,,9/27/2023,Delivered,,,,,ECU Trucking-T Force BOL,786773481AUR,,,,
24-Aug-23,9461,ORING-5 1 BY 4X5 7 BY 16X3 BY 32,Novaspect,1 Week,Replace order 9375,TReboletti@novaspect.com,9/6/2023,UPS,1Z6253760391979994,,,,,,4/11/2023,GE,42300087788,,GE Energy Parts. ATLANTA,1,,8/18/2023,,,,,,Fedex,773100149505,,,,
8/28/2023,9462,"BLADDER, ACCUMULATOR",WILKES & MC LEAN,In Stock,,,,UPS,,,,,,,8/28/2023,GE,42300116188,,GE Energy Parts. ATLANTA,1,,9/7/2023,,,,,,Fedex,773337726959,,,,
8/30/2023,9463,Valve Manifold,The Blythe Company,9/11/2023,,patti@theblythecompany.com,9/5/2023,UPS,1Z2145310392957762,12,12,12,32lbs,,25-Aug-23,Jords,109485,,Contact ECI,1,,9/8/2023,,,,,,UPS,1Z2Y36Y30399113260,,,,
9/2/2023,9464,Sun Valves,Hydradyne,In stock,,Aleksy@cmafh.com,9/11/2023,UPS,1Z6025520360089364,9,10,6,15LBS,,8/23/2023,GE,42300116344 Manifold Assy,,GE Energy Parts. ATLANTA,,,2/19/2024,,26,21,28,524.99LBS,Fedex,6605811833,,,,
9/6/2023,9465,Needle Valves,Sunbelt Supply,3 weeks, CANCELLED FROM CUSTOMER 12-19-2023,richard.matyas@sunbeltsupply.com,11/20/2024,UPS,1Z2W04880340074591,6,4,4,2LBS,,8/29/2023,Jords,109513,,,,,Order Cancelled from customer,,,,,,,,,,,
9/9/2023,9466 Line 1,Impeller washer,Buffalo,2 weeks,RMS Stock related to GE RFQ 230830 GEDOVAR,nschultz@buffalopumps.com,9/19/2023,UPS,1Z1237410353764351,9,9,6,2 LBS,,,,,,,,,Raj removed,,,,,,,,,,,
9/9/2023,9466 Line 2,Impeller Nut,Buffalo,2 weeks,RMS Stock related to GE RFQ 230807 GEKOMANN,nschultz@buffalopumps.com,9/19/2023,UPS,1Z1237410353764351,9,9,6,2 LBS,,,,,,,,,Raj removed,,,,,,,,,,,
9/9/2023,9467,Gasket set,Novaspect,1 week,,TReboletti@novaspect.com,9/19/2023,UPS,1Z6253760393363627,11,8,6,2 LBS,,8/17/2023,GE,42300115381,,GE Energy Parts. ATLANTA,,,9/20/2023,,,,,,Fedex,773477826800,,,,
9/11/2023,9468,Pressure Switch,Forberg,3 weeks,,danielle.eddington@forbergsmith.com,9/28/2023,UPS,1Z6650740391193003,10,6,6,3 LBS,,9/4/2023,GE,42300118173,,GE Energy Parts. ATLANTA,,,10/2/2023,Delivered,10,6,6,2LBS,FedEx,773603566144,,,,
9/11/2023,9469,Gear Pump,Hydradyne,12/27/2023,,Aleksy@cmafh.com,12/26/2023,UPS,1Z6025520360200349,12,10,12,31LBS,,9/8/2023,GE,42300119127,,GE Energy Parts. ATLANTA,,,12/28/2023,Delivered,12,12,12,32LBS,FedEx,774627731930,,,,
9/13/2023,9470,Pistong - 1U2392X0012 - Qty 2,Novaspect,3 days,,KMendoza@novaspect.com,9/20/2023,UPS,1Z6253760396836530,11,8,1,1 LBS,,9/1/2023,GE,42300118090,,GE Energy Parts. ATLANTA,,,9/20/2023,,,,,,Fedex,773477879470,,,,
9/14/2023,9471,Solenoid Valve Parts - PNs C016CA99009999V and CE016C04L00V,Ritter,12/11/2023,CE016C04L00V qty 3 on backorder 12/11/2023/ rcvd 1/3/24,customercare@rittertech.com,12/11/2023,UPS,1Z6067730355255058,6,6,6,8LBS,,8/23/2023,GE,42300116344 Manifold Assy,,GE Energy Parts. ATLANTA,,,2/19/2024,,26,21,28,524.99LBS,Fedex,6605811833,,,,
9/19/2023,9472,Packing Set PN RPACKX00022,Novaspect,9/21/2023,,KMendoza@novaspect.com,9/26/2023,UPS,1Z6253760390710908,10,6,4,1 LB,,9/1/2023,GE,42300117898,,GE Energy Parts. ATLANTA,,,9/26/2023,,6,6,6,1LB,FedEx,773540698394,,,,
9/19/2023,9473,"Thermometer, Bi-Metal P/N 3A02-44DJ-XC4PD",Hatfield,3-4 Weeks,RFQ JORDSS PR20,mpratl@hatfieldandcompany.com,10/24/2023,UPS,1Z6188450357049146,16,8,9,2 LBS,,,Jord,108848-2,,,,,10/27/2023,,8,8,8,2LBS,DHL,7386369616,,,,
10/17/2023,9474,Pump AA10VSO71DR/31R-VKC92N00 SO194,Hydradyne,11/20/2023,,Aleksy@cmafh.com,11/29/2023,CPU,CPU,24,24,24,184LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
9/25/2023,Unknown,Manifold Tyco# M4TPVIS-4-GE1-R3V,The Blythe Company,,,patti@theblythecompany.com,,,,,,,,,,Jord,105983,,Shanghai,,,9/25/2023,,,,,,DHL,9763903494,,,,
10/2/2023,9475,SAFETY GATE PN G72-21PC,Tractel,7-10 business days,,Johnny.Rivas@alimakgroup.com,10/11/2023,UPS,"1Z7703180371927547
1Z7703180370278152
1Z7703180372843135",,,,,,10/2/2023,Jord,109628,,Contact ECI (VIETNAM),,,10/17/2023,,,,,,,,,,,
10/2/2023,9476,Packing Set PN RPACKX00022,Novaspect,3-4 business days,,KMendoza@novaspect.com,10/5/2023,UPS,"1 PIECE 1Z5305580394564951
2 PIECES 1Z6253760396023060",10,7,5,1 LB,,9/29/2023,ATC Corp,GT_PO-0044431,,"G&T - Division of Argo Turboserve Corp.
415 Elmwood Avenue
Elmwood Court One
Sharon Hill, PA 19079 USA",,,10/13/2023 & 10/20/2023,Delivered,6,6,6,1LB,Fedex,773739707660 & 773813312075,,,,
10/2/2023,9477,Accumulator BA05B3T28P2,Ritter,11/6/2023,,customercare@rittertech.com,11/16/2023,Pickup,,40,10,15,125 LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
10/2/2023,9478,Sun Hydraulic Manifold ECJ/S,Ebay,On way,,,,UPS,1ZAC98180351058249,,,,,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
11/7/2023,9479,Strainer Sump PN C-50-2-60,Flowezy,6 - 8 weeks,,ncannon@FlowEzyFilters.Com,12/21/2023,UPS,1ZF26B390315254049,14,13,9,5LBS,,9/28/2023,Jord,109608,,Contact ECI. Vietnam,,,12/18/2023,Delivered,,,,,DHL,1147532606,,,,
10/4/2023,9480,"Pressure Gauge AMETEK 1931 4-1/2""",Lesman,9/27/2023,,gina@lesman.com,10/20/2023,UPS,1Z6208880311285660,15,14,10,19LBS,,8/10/2023,GE,42300113896,,GE Energy Parts. ATLANTA,,,12/6/2023,,12,12,12,18LBS,FedEx,774371485789,,,,
10/17/2023,9481,Motor/Pump adaptor+Coupling and Inserts. Qty 2,BSF,11/7/2023,3 BOXES,billw@bsfinc.net,11/7/2023,UPS,1ZF26B390336856056,20,20,8,41 LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
10/11/2023,9482,Needle Valve PN 10F057,Sunbelt Supply,2 -3 weeks,,richard.matyas@sunbeltsupply.com,,UPS,,,,,,,10/10/2023,Jord,109639,,Contact ECI,,,Order Cancelled from customer,,,,,,,,,,,
10/18/2023,9483,Motor 3GBP 222 220-BDK. Qty 2,Baldor,8-10 weeks,,Coltin.Rohder@us.abb.com,,,,,,,,,9/15/2023,Jord,109600,,Contact ECI,,,,,,,,,,,,,,
10/18/2023,9484,"Qty 1 Packing Set, P/N RPACKX00022",Novaspect,10/20/2023,For RMS Stock,rtovar@novaspect.com,10/23/2023,UPS,1Z6253760390930297,10,6,4,1LB,,,,,,,,,,,,,,,,,,,,
11/1/2023,9485,Qty 2 SAFETY GATE PN: G72-21PC,Tractel,7 - 10 business days,,Johnny.Rivas@alimakgroup.com,11/7/2023,Contact warehousing@rmsint.net when ready.,,27,26,4,26 LBS,,10/18/2023,Jord,109781,,Contact ECI,,,11/10/2023,Delivered,,,,,UPS,"1Z2Y36Y30390685061
1Z2Y36Y30394256053",,,,
11/1/2023,9486,"Orings 1B885506992 and 1D547106992, Qty 2",Novaspect,2 - 3 weeks,,TReboletti@novaspect.com,11/13/2023,UPS,1Z6253760342282949,15,11,1,1 LB,,10/25/2023,GE,42300126839,,GE Energy Parts. ATLANTA,,,11/13/2023,,9,7,1,1LB,FedEx,774086457772,,,,
11/1/2023,9487,Qty 3 of Manifold PN X21511-1,M&W Manufacturing,8 to 10 Weeks,Plugs rcv'd 12/20/2023-manifold rcv'd 1/8/2024,charleym@mandwhyd.com,1/8/2024,UPS,1Z5330840365799835,11,11,8,8LBS,,,RMS,X21511-1 MANIFOLD ,,,,,,,,,,,,,,,,
11/1/2023,9488,Qty 5 BEARING WASHER PN 01705625,Motion,In stock,,LAUREN.SMITH@MOTION.COM,11/7/2023,UPS,1Z08E58E0302178283,7,7,7,1LB,,10/26/2023,GE,42300127261,,GE Energy Parts. ATLANTA,,,11/8/2023,Delivered,9,7,1,1LB,FedEx,786103557179,,,,
10/30/2023,9489-1,Qty 4 Immersion Heaters PN MXIK620F6157-00X,Thermon,,Awaiting Ack from supplier,Rachel.Rodriguez@thermon.com,,Contact warehousing@rmsint.net when ready.,,,,,,,10/16/2023,Jord,109634,,Contact ECI,,,4/19/2024,,,,,,,,,,,
11/1/2023,9490,Qty 3 DIAPHRAGM PN 1F725902192,Novaspect,11/28/2023,,splesha@novaspect.com,11/15/2023,UPS,1Z6253760397265995,18,11,1,2LBS,,10/27/2023,GE,42300127570,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,18,12,1,2LBS,FEDEX,774408000437,,,,
11/1/2023,9491,"Qty 1 Casing Ring, P/N 204-29-156",Buffalo,11/22/2023,,nschultz@buffalopumps.com,11/21/2023,UPS,1ZF26B390325796874,18,11,2,1LB,,10/27/2023,GE,42300127570,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,18,12,1,2LBS,FEDEX,774408000437,,,,
11/1/2023,9492,Qty 2 Tank Magnets PN SLX-21-SS,ACI Controls,6 weeks,On Hold - Discrepances in dimmensions,jzizzi@aci-controls.com,,Contact warehousing@rmsint.net when ready.,,,,,,,10/31/2023,Jord,109810,,Contact ECI,,,11/2/2023,Delivered,31,8,3,5LBS,UPS,1ZF26B390300011810,,,,
11/2/2023,9493,Total 9 pcs of Sun Valves,Hydradyne,December 13-17th,,Aleksy@cmafh.com,11/13/2023,UPS,1Z6025520360158057,8,8,7,8 lbs,,9/15/2023,,42300120133,,GE Energy Parts. ATLANTA,,,11/22/2023,Delivered,8,8,8,18LBS,FedEx,774203105868,,,,
11/2/2023,9494,Qty 3 Sun Needle Valve NFCC-HCV,Lynch Fluid Controls,Stock,,pnenni@lynch-usa.com,11/7/2023,UPS,1ZF26B390330796864,5,3,3,2LBS,,9/15/2023,,42300120133,,GE Energy Parts. ATLANTA,,,11/22/2023,Delivered,8,8,8,18LBS,FedEx,774203105868,,,,
11/7/2023,9495,Qty 2 Strainer Sump C-50-2-60,Flowezy,6 - 8 Weeks,RMS Stock,flowezy@FlowEzyFilters.Com,12/21/2023,UPS,1ZF26B390313417055,14,13,9,5LBS,,,,,,,,,,,,,,,,,,,,
11/7/2023,9496,Qty 2 Strainer Sump C-50-2-60,Flowezy,6 - 8 Weeks,,flowezy@FlowEzyFilters.Com,12/21/2023,UPS,1ZF26B390318727863,14,13,9,5LBS,,10/18/2023,Jord,109780,,"China - Contact:
YJZHANG@JORDENERGY.COM.AU (JIN)
DJOHNBRITTO@JORDENERGY.COM.AU (DONIL)
APRAKSH@JORDENERGY.COM.AU (ALDRIN)",,,12/11/2023,Delivered,10,10,10,5LBS,DHL,7524800931,,,,
11/7/2023,9497,Qty 2 GAUGE/SWITCH DIFF PN 120-SC-10-0CA(Z) 25PSID,Lesman,11/28/2023,,gina@lesman.com,12/5/2023,UPS,1ZF26B390336830494,10,10,10,10LBS,,11/3/2023,GE,42300128670,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,10,10,10,5LBS,FEDEX,774407875772,,,,
11/9/2023,9498,Qty 1 SEAL RING PN 10A3484X012,Novaspect,2 - 3 Weeks ARO,,KMendoza@novaspect.com,11/21/2023,UPS,1Z6253760392178482,11,8,1,1LB,,11/8/2023,GE,42300129456,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,9,7,1,1LB,FEDEX,774408045260,,,,
11/10/2023,9499,Qty 1 Safety Gate PN A71-30PC,Tractel,1 - 2 business days,,Johnny.Rivas@alimakgroup.com,11/27/2023,UPS,1ZF26B390309235429,31,15,4,33LBS,,11/10/2023,Jord,109870,,Contact ECI,,,11/28/2023,Delivered,31,15,4,33LBS,UPS,1Z2Y36Y30393430884,,,,
11/13/2023,9500-1,Qty 3 SPIRAL WOUND GASKET PN 1R372299442/Qty 2 O-RING PN 10A3482X022,Novaspect,2 - 3 Weeks,,TReboletti@novaspect.com,12/5/2023,UPS,1Z6253760393817619,11,8,6,1LB,,11/10/2023,GE,42300130064,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,9,7,1,1LB,FEDEX,774407937741,,,,
11/15/2023,9501,Qty 1 DIRECT ACTING PRESSURE REDUCING PN PRDB-LBV,Hydradyne,In stock,,Aleksy@cmafh.com,11/21/2023,UPS,1Z6025520360164808,6,6,5,1LB,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
11/20/2023,9502,Qty 2 Bearing Bushing PN 204-29-321,Buffalo,12/5/2023,,NSchultz@buffalopumps.com,11/27/2023,UPS,1ZF26B390320800082,10,10,15,2LBS,,11/17/2023,GE,42300131430,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,6,6,6,8LBS,FEDEX,774407796870,,,,
11/22/2023,9503,THRUST BEARING KIT,Motion,In stock,,LAUREN.SMITH@MOTION.COM,11/28/2023,UPS,1Z6415210305763905,8,8,5,4LBS,,11/17/2023,GE,42300131430,,GE Energy Parts. ATLANTA,,,12/8/2023,Delivered,6,6,6,8LBS,FEDEX,774407796870,,,,
11/30/2023,9504,Plugs for Manifold,MRO ,In stock,MRO Order MRO-207660,mroorders@mrostop.com,1/3/2024,UPS,1Z2104800375325658,8,8,4,8LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
11/30/2023,9505,Plugs for Manifold,Mc Master Carr,12/1/2023,Mc Master Order 4605302,chi.sales@mcmaster.com,12/1/2023,UPS,1Z6028360350314261,12,12,5,12LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
12/1/2023,9506,Qty 1 Sun Needle Valve PN NFED-LHV,Lynch Fluid Controls,12/8/2023,,pnenni@lynch-usa.com,12/18/2023,UPS,1Z27YE430346493152,7,5,5,3LBS,,9/15/2023,Jord,109600,,Contact ECI,,,12/28/2023,Delivered,43,36,24,"1,197LBS",ECU,246371702,,,,
12/4/2023,9507,Qty 2 PN S-380V Viton Seal,Seal Distributors,In stock,,krystle@sealdistributors.com,12/12/2023,UPS,1Z3478580340668796,6,4,4,1LB,,12/1/2023,GE,42300133675,,GE Energy Parts. ATLANTA,,,12/13/2023,Delivered,6,4,4,1LB,FEDEX,774464249547,,,,
12/1/2023,9508,Qty 9 Sun Needle Valve NFED-LHV,Hydradyne,11-12 weeks,RMS Stock,Aleksy@cmafh.com,3/4/2024,UPS,1Z6025520360267117,6,9,4,12LBS,,,,RMS STOCK,,,,,,,,,,,,,,,,
